1 1
2 4
3 7
4 10
5 13
6 16
7 19
8 22
9 25
10 28
11 31
12 35
13 38
14 41
15 44
16 47
17 51
18 54
19 57
20 60
21 64
22 67
23 70
24 73
25 77
26 80
27 83
28 87
29 90
30 93
31 97
32 100
33 103
34 107
35 110
36 114
37 117
38 120
39 124
40 127
41 131
42 134
43 137
44 141
45 144
46 148
47 151
48 155
49 158
50 161
51 165
52 168
53 172
54 175
55 179
56 182
57 186
58 189
59 193
60 196
61 200
62 203
63 207
64 210
65 214
66 218
67 221
68 225
69 228
70 232
71 235
72 239
73 242
74 246
75 249
76 253
77 257
78 260
79 264
80 267
81 271
82 275
83 278
84 282
85 285
86 289
87 293
88 296
89 300
90 303
91 307
92 311
93 314
94 318
95 322
96 325
97 329
98 333
99 336
100 340
101 344
102 347
103 351
104 355
105 358
106 362
107 366
108 369
109 373
110 377
111 380
112 384
113 388
114 391
115 395
116 399
117 403
118 406
119 410
120 414
